"campaign_id","date","channel","campaign_type","device_type","os","country","impressions","clicks","conversions","spend_usd","revenue_usd"
"GOOGLE_CAMP_037","2025-06-28","Google","acquisition","Mobile","iOS","India","1000","20","4","1486.16","1634.78"
"GOOGLE_CAMP_007","2025-06-12","Google","acquisition","Mobile","iOS","India","2170","42","7","5159.01","5674.91"
"MOLOCO_CAMP_022","2025-06-23","Moloco","retargeting","Mobile","Android","USA","1000","29","2","249.5","224.55"
"TIKTOK_CAMP_034","2025-06-25","TikTok","acquisition","Mobile","Android","Japan","2032","11","2","7720.85","10345.94"
"GOOGLE_CAMP_031","2025-06-13","Google","acquisition","Desktop","Desktop","Germany","4802","51","1","5425.87","5968.46"
"AFFILIATE_CAMP_008","2025-07-12","Affiliate","acquisition","Desktop","Desktop","Germany","1000","25","1","1229.23","799.0"
"GOOGLE_CAMP_026","2025-06-16","Google","acquisition","Mobile","iOS","Brazil","6977","59","9","3424.4","3766.84"
"GOOGLE_CAMP_023","2025-06-18","Google","acquisition","Mobile","iOS","Germany","3086","134","39","999.9","1099.89"
"META_CAMP_011","2025-06-17","Meta","acquisition","Mobile","iOS","India","1437","52","2","1084.23","1030.02"
"GOOGLE_CAMP_017","2025-06-18","Google","acquisition","Desktop","Desktop","Canada","20000","252","37","264.49","290.94"
"GOOGLE_CAMP_045","2025-07-04","Google","acquisition","Desktop","Desktop","Germany","1291","43","8","821.13","903.24"
"GOOGLE_CAMP_045","2025-06-25","Google","acquisition","Mobile","iOS","UK","17676","279","35","5166.39","5683.03"
"GOOGLE_CAMP_001","2025-06-17","Google","acquisition","Desktop","Desktop","USA","7098","93","22","4548.05","5002.86"
"GOOGLE_CAMP_011","2025-06-14","Google","acquisition","Mobile","Android","USA","7935","236","26","699.81","769.79"
"GOOGLE_CAMP_015","2025-07-08","Google","acquisition","Mobile","iOS","UK","1303","7","1","4984.51","5482.96"
"GOOGLE_CAMP_035","2025-06-19","Google","acquisition","Mobile","iOS","Japan","1000","49","5","1294.05","1423.46"
"TIKTOK_CAMP_006","2025-06-27","TikTok","acquisition","Mobile","Android","USA","20000","958","121","1590.13","2130.77"
"GOOGLE_CAMP_023","2025-06-16","Google","acquisition","Mobile","Android","Japan","15563","565","121","2975.76","3273.34"
"GOOGLE_CAMP_010","2025-06-26","Google","acquisition","Mobile","Android","Canada","20000","510","112","6921.32","7613.45"
"TIKTOK_CAMP_039","2025-06-15","TikTok","acquisition","Mobile","Android","USA","2564","79","5","2517.07","3372.87"
"MOLOCO_CAMP_004","2025-07-10","Moloco","retargeting","Mobile","iOS","India","1000","37","4","7395.33","6655.8"
"GOOGLE_CAMP_011","2025-07-09","Google","acquisition","Mobile","Android","India","4652","42","2","2857.73","3143.5"
"GOOGLE_CAMP_046","2025-07-08","Google","acquisition","Mobile","Android","Brazil","1219","14","3","3739.78","4113.76"
"GOOGLE_CAMP_044","2025-07-08","Google","acquisition","Mobile","iOS","USA","12267","609","156","2855.18","3140.7"
"TABOOLA_CAMP_008","2025-06-18","Taboola","acquisition","Mobile","Android","Germany","20000","335","71","382.23","229.34"
"TIKTOK_CAMP_003","2025-07-02","TikTok","acquisition","Mobile","iOS","USA","1000","19","5","11299.79","15141.72"
"GOOGLE_CAMP_026","2025-06-23","Google","acquisition","Mobile","Android","UK","1480","31","5","536.03","589.63"
"TIKTOK_CAMP_022","2025-06-29","TikTok","acquisition","Desktop","Desktop","Brazil","9256","214","54","2515.88","3371.28"
"AFFILIATE_CAMP_007","2025-07-03","Affiliate","acquisition","Desktop","Desktop","India","2105","78","6","2965.77","1927.75"
"GOOGLE_CAMP_015","2025-06-22","Google","acquisition","Mobile","iOS","Brazil","6558","187","46","2073.29","2280.62"
"GOOGLE_CAMP_045","2025-06-21","Google","acquisition","Mobile","Android","India","20000","392","72","1157.9","1273.69"
"GOOGLE_CAMP_021","2025-06-12","Google","acquisition","Mobile","iOS","Brazil","6560","232","35","107.35","118.08"
"GOOGLE_CAMP_034","2025-07-12","Google","acquisition","Mobile","Android","Germany","16286","812","150","219.96","241.96"
"GOOGLE_CAMP_018","2025-07-09","Google","acquisition","Mobile","Android","USA","7559","200","5","1385.47","1524.02"
"GOOGLE_CAMP_007","2025-06-18","Google","acquisition","Desktop","Desktop","Germany","9804","57","12","1926.42","2119.06"
"GOOGLE_CAMP_016","2025-07-01","Google","acquisition","Mobile","Android","Germany","1469","59","13","3336.65","3670.32"
"GOOGLE_CAMP_047","2025-06-14","Google","acquisition","Mobile","Android","Japan","4979","244","39","2272.17","2499.39"
"META_CAMP_043","2025-06-27","Meta","acquisition","Mobile","Android","UK","2422","62","13","4202.24","3992.13"
"GOOGLE_CAMP_025","2025-07-12","Google","acquisition","Mobile","iOS","UK","12208","84","22","2457.09","2702.8"
"META_CAMP_005","2025-06-21","Meta","acquisition","Desktop","Desktop","Canada","7213","206","12","15000.0","14250.0"
"TABOOLA_CAMP_047","2025-06-15","Taboola","acquisition","Mobile","Android","Germany","11151","245","6","2154.37","1292.62"
"AFFILIATE_CAMP_015","2025-07-01","Affiliate","acquisition","Mobile","iOS","India","1000","6","0","3235.99","2103.39"
"GOOGLE_CAMP_009","2025-07-08","Google","acquisition","Desktop","Desktop","UK","14759","546","72","1628.62","1791.48"
"GOOGLE_CAMP_019","2025-07-10","Google","acquisition","Desktop","Desktop","Germany","1000","35","5","2502.01","2752.21"
"GOOGLE_CAMP_025","2025-07-01","Google","acquisition","Mobile","iOS","Japan","20000","743","31","240.64","264.7"
"TIKTOK_CAMP_018","2025-06-14","TikTok","acquisition","Mobile","iOS","Japan","17272","568","122","673.2","902.09"
"GOOGLE_CAMP_049","2025-06-24","Google","acquisition","Mobile","iOS","Brazil","9771","257","49","6881.54","7569.69"
"AFFILIATE_CAMP_019","2025-06-12","Affiliate","acquisition","Mobile","Android","USA","4988","27","5","863.63","561.36"
"META_CAMP_030","2025-06-15","Meta","acquisition","Mobile","iOS","Japan","2860","38","9","685.4","651.13"
"META_CAMP_008","2025-06-14","Meta","acquisition","Mobile","Android","Canada","1000","28","4","8061.73","7658.64"
"GOOGLE_CAMP_006","2025-06-22","Google","acquisition","Mobile","iOS","UK","1834","91","8","542.58","596.84"
"TIKTOK_CAMP_019","2025-06-28","TikTok","acquisition","Desktop","Desktop","Canada","1854","21","4","1849.8","2478.73"
"META_CAMP_032","2025-06-26","Meta","acquisition","Mobile","iOS","Canada","17165","269","61","1555.23","1477.47"
"GOOGLE_CAMP_026","2025-07-01","Google","acquisition","Desktop","Desktop","Japan","6361","31","5","1044.81","1149.29"
"GOOGLE_CAMP_020","2025-06-12","Google","acquisition","Mobile","Android","Brazil","1000","46","7","5117.98","5629.78"
"GOOGLE_CAMP_050","2025-07-11","Google","acquisition","Mobile","Android","Japan","20000","823","202","1852.96","2038.26"
"MOLOCO_CAMP_040","2025-07-11","Moloco","retargeting","Mobile","iOS","UK","10722","299","84","4914.16","4422.74"
"GOOGLE_CAMP_045","2025-07-12","Google","acquisition","Desktop","Desktop","Germany","5646","210","59","1119.33","1231.26"
"GOOGLE_CAMP_016","2025-06-12","Google","acquisition","Mobile","iOS","Brazil","7953","288","51","3876.71","4264.38"
"META_CAMP_008","2025-06-23","Meta","acquisition","Desktop","Desktop","Canada","10871","71","3","15000.0","14250.0"
"GOOGLE_CAMP_008","2025-07-12","Google","acquisition","Desktop","Desktop","UK","2172","82","10","6941.04","7635.14"
"GOOGLE_CAMP_025","2025-07-08","Google","acquisition","Mobile","iOS","Canada","10934","167","20","81.86","90.05"
"GOOGLE_CAMP_038","2025-06-19","Google","acquisition","Mobile","iOS","USA","7781","277","22","2992.07","3291.28"
"AFFILIATE_CAMP_019","2025-07-01","Affiliate","acquisition","Mobile","Android","USA","6910","134","17","2386.88","1551.47"
"MOLOCO_CAMP_019","2025-07-10","Moloco","retargeting","Mobile","Android","UK","3206","116","2","4081.33","3673.2"
"AFFILIATE_CAMP_029","2025-07-06","Affiliate","acquisition","Mobile","iOS","Germany","5920","33","7","5968.57","3879.57"
"AFFILIATE_CAMP_023","2025-07-09","Affiliate","acquisition","Mobile","iOS","Germany","1793","32","9","2700.59","1755.38"
"MOLOCO_CAMP_041","2025-06-26","Moloco","retargeting","Mobile","iOS","Germany","8539","380","113","73.28","65.95"
"GOOGLE_CAMP_038","2025-07-12","Google","acquisition","Desktop","Desktop","Germany","1865","29","8","334.93","368.42"
"GOOGLE_CAMP_039","2025-06-25","Google","acquisition","Desktop","Desktop","Canada","2332","71","17","3106.76","3417.44"
"AFFILIATE_CAMP_012","2025-06-19","Affiliate","acquisition","Mobile","iOS","UK","1000","32","6","844.07","548.65"
"GOOGLE_CAMP_034","2025-06-16","Google","acquisition","Desktop","Desktop","India","5608","237","55","2776.76","3054.44"
"GOOGLE_CAMP_023","2025-06-16","Google","acquisition","Mobile","Android","USA","11942","458","26","2107.83","2318.61"
"META_CAMP_025","2025-06-12","Meta","acquisition","Mobile","iOS","Germany","7956","337","63","5383.36","5114.19"
"GOOGLE_CAMP_030","2025-07-08","Google","acquisition","Desktop","Desktop","Brazil","1246","37","1","1399.87","1539.86"
"AFFILIATE_CAMP_047","2025-06-23","Affiliate","acquisition","Mobile","iOS","India","20000","793","51","1004.8","653.12"
"MOLOCO_CAMP_035","2025-06-12","Moloco","retargeting","Mobile","iOS","Brazil","2719","111","29","815.75","734.18"
"GOOGLE_CAMP_042","2025-06-25","Google","acquisition","Mobile","Android","Germany","4886","125","24","2169.27","2386.2"
"GOOGLE_CAMP_042","2025-07-01","Google","acquisition","Desktop","Desktop","UK","1062","24","0","3988.94","4387.83"
"GOOGLE_CAMP_038","2025-07-08","Google","acquisition","Mobile","Android","Japan","8626","260","58","6304.37","6934.81"
"GOOGLE_CAMP_005","2025-06-25","Google","acquisition","Mobile","Android","Germany","3299","144","21","1720.12","1892.13"
"AFFILIATE_CAMP_024","2025-07-01","Affiliate","acquisition","Mobile","iOS","Brazil","3363","93","5","128.63","83.61"
"AFFILIATE_CAMP_026","2025-06-13","Affiliate","acquisition","Desktop","Desktop","Japan","11312","341","65","956.18","621.52"
"GOOGLE_CAMP_050","2025-07-11","Google","acquisition","Mobile","Android","Canada","1000","32","4","2772.89","3050.18"
"GOOGLE_CAMP_042","2025-06-21","Google","acquisition","Mobile","Android","USA","1164","34","5","75.18","82.7"
"GOOGLE_CAMP_039","2025-07-11","Google","acquisition","Mobile","iOS","UK","15580","670","41","2559.52","2815.47"
"MOLOCO_CAMP_037","2025-07-02","Moloco","retargeting","Mobile","Android","Japan","1000","46","12","4108.71","3697.84"
"GOOGLE_CAMP_021","2025-06-23","Google","acquisition","Mobile","iOS","India","8548","365","102","5687.86","6256.65"
"META_CAMP_038","2025-06-17","Meta","acquisition","Mobile","Android","USA","7365","130","5","150.52","142.99"
"MOLOCO_CAMP_018","2025-07-05","Moloco","retargeting","Desktop","Desktop","Canada","1293","48","2","1509.15","1358.24"
"GOOGLE_CAMP_019","2025-06-12","Google","acquisition","Mobile","Android","UK","1746","19","2","6565.26","7221.79"
"GOOGLE_CAMP_018","2025-07-01","Google","acquisition","Mobile","Android","Canada","6859","49","9","1547.59","1702.35"
"TIKTOK_CAMP_020","2025-06-27","TikTok","acquisition","Mobile","Android","India","1719","33","4","5529.16","7409.07"
"META_CAMP_043","2025-07-11","Meta","acquisition","Desktop","Desktop","USA","8217","136","34","13269.14","12605.68"
"GOOGLE_CAMP_021","2025-06-17","Google","acquisition","Mobile","Android","Brazil","7673","262","28","2668.04","2934.84"
"AFFILIATE_CAMP_018","2025-07-10","Affiliate","acquisition","Desktop","Desktop","USA","1261","16","1","1130.95","735.12"
"META_CAMP_020","2025-06-18","Meta","acquisition","Mobile","iOS","UK","2293","111","5","5301.57","5036.49"
"META_CAMP_034","2025-06-13","Meta","acquisition","Mobile","iOS","Brazil","1523","57","12","5845.92","5553.62"
"AFFILIATE_CAMP_016","2025-06-16","Affiliate","acquisition","Desktop","Desktop","Canada","1000","48","12","1212.77","788.3"
"GOOGLE_CAMP_037","2025-07-02","Google","acquisition","Mobile","Android","Canada","9335","202","46","12791.55","14070.7"
"META_CAMP_023","2025-06-16","Meta","acquisition","Mobile","Android","UK","16562","301","26","2796.91","2657.06"
"MOLOCO_CAMP_014","2025-06-24","Moloco","retargeting","Desktop","Desktop","Germany","2478","40","10","223.48","201.13"
"GOOGLE_CAMP_036","2025-07-03","Google","acquisition","Mobile","iOS","USA","1988","91","18","832.33","915.56"
"MOLOCO_CAMP_002","2025-06-26","Moloco","retargeting","Mobile","Android","Brazil","3477","50","4","654.72","589.25"
