"creative_id","campaign_id","channel","format","image_style","is_experiment","variant","language"
"CR0000","GOOGLE_CAMP_019","Google","static","lifestyle","False","","es"
"CR0001","GOOGLE_CAMP_045","Google","static","food","False","","es"
"CR0002","GOOGLE_CAMP_038","Google","video","product","True","B","fr"
"CR0003","GOOGLE_CAMP_011","Google","static","lifestyle","False","","es"
"CR0004","GOOGLE_CAMP_038","Google","video","product","False","","fr"
"CR0005","MOLOCO_CAMP_016","Moloco","video","product","False","","en"
"CR0006","GOOGLE_CAMP_014","Google","carousel","food","True","A","en"
"CR0007","AFFILIATE_CAMP_022","Affiliate","video","minimalist","True","C","fr"
"CR0008","AFFILIATE_CAMP_008","Affiliate","static","lifestyle","True","C","pt"
"CR0009","GOOGLE_CAMP_039","Google","video","minimalist","False","","de"
"CR0010","GOOGLE_CAMP_001","Google","static","minimalist","False","","pt"
"CR0011","GOOGLE_CAMP_044","Google","carousel","lifestyle","False","","pt"
"CR0012","META_CAMP_049","Meta","static","food","False","","fr"
"CR0013","MOLOCO_CAMP_040","Moloco","video","lifestyle","True","A","en"
"CR0014","MOLOCO_CAMP_011","Moloco","video","product","False","","fr"
"CR0015","GOOGLE_CAMP_015","Google","static","product","False","","pt"
"CR0016","GOOGLE_CAMP_008","Google","video","food","False","","pt"
"CR0017","TABOOLA_CAMP_027","Taboola","static","product","False","","de"
"CR0018","GOOGLE_CAMP_036","Google","static","lifestyle","False","","fr"
"CR0019","GOOGLE_CAMP_026","Google","video","lifestyle","False","","pt"
"CR0020","GOOGLE_CAMP_011","Google","video","product","True","A","fr"
"CR0021","GOOGLE_CAMP_046","Google","video","product","True","A","de"
"CR0022","MOLOCO_CAMP_016","Moloco","video","minimalist","False","","de"
"CR0023","GOOGLE_CAMP_001","Google","static","product","False","","fr"
"CR0024","GOOGLE_CAMP_030","Google","video","minimalist","True","A","en"
"CR0025","META_CAMP_046","Meta","video","minimalist","True","B","en"
"CR0026","GOOGLE_CAMP_001","Google","static","minimalist","True","A","en"
"CR0027","META_CAMP_043","Meta","video","minimalist","True","A","es"
"CR0028","META_CAMP_050","Meta","static","product","False","","en"
"CR0029","MOLOCO_CAMP_020","Moloco","video","minimalist","True","B","es"
"CR0030","MOLOCO_CAMP_033","Moloco","video","minimalist","False","","en"
"CR0031","TIKTOK_CAMP_037","TikTok","static","food","False","","es"
"CR0032","TIKTOK_CAMP_030","TikTok","video","food","True","B","fr"
"CR0033","GOOGLE_CAMP_034","Google","video","product","True","A","pt"
"CR0034","MOLOCO_CAMP_005","Moloco","video","food","False","","de"
"CR0035","GOOGLE_CAMP_027","Google","video","minimalist","False","","en"
"CR0036","GOOGLE_CAMP_015","Google","carousel","minimalist","False","","fr"
"CR0037","GOOGLE_CAMP_005","Google","static","minimalist","False","","pt"
"CR0038","GOOGLE_CAMP_042","Google","static","minimalist","False","","es"
"CR0039","GOOGLE_CAMP_014","Google","static","minimalist","False","","en"
"CR0040","GOOGLE_CAMP_025","Google","static","food","True","A","pt"
"CR0041","TABOOLA_CAMP_047","Taboola","static","product","False","","en"
"CR0042","AFFILIATE_CAMP_048","Affiliate","static","product","True","C","de"
"CR0043","GOOGLE_CAMP_035","Google","static","minimalist","True","C","en"
"CR0044","MOLOCO_CAMP_028","Moloco","video","product","True","C","fr"
"CR0045","AFFILIATE_CAMP_046","Affiliate","static","minimalist","False","","es"
"CR0046","TIKTOK_CAMP_050","TikTok","static","minimalist","True","B","en"
"CR0047","META_CAMP_040","Meta","video","food","False","","de"
"CR0048","MOLOCO_CAMP_006","Moloco","video","minimalist","False","","fr"
"CR0049","GOOGLE_CAMP_010","Google","static","lifestyle","False","","de"
"CR0050","GOOGLE_CAMP_021","Google","video","food","False","","de"
"CR0051","GOOGLE_CAMP_008","Google","video","minimalist","False","","fr"
"CR0052","GOOGLE_CAMP_009","Google","video","food","True","A","pt"
"CR0053","GOOGLE_CAMP_018","Google","static","minimalist","False","","pt"
"CR0054","AFFILIATE_CAMP_016","Affiliate","static","lifestyle","True","A","es"
"CR0055","META_CAMP_044","Meta","carousel","food","False","","pt"
"CR0056","GOOGLE_CAMP_005","Google","carousel","lifestyle","False","","fr"
"CR0057","GOOGLE_CAMP_045","Google","video","food","False","","pt"
"CR0058","GOOGLE_CAMP_019","Google","static","food","True","B","es"
"CR0059","META_CAMP_011","Meta","carousel","lifestyle","False","","es"
"CR0060","META_CAMP_006","Meta","static","minimalist","False","","pt"
"CR0061","META_CAMP_033","Meta","static","minimalist","False","","fr"
"CR0062","GOOGLE_CAMP_024","Google","video","food","False","","es"
"CR0063","GOOGLE_CAMP_026","Google","static","minimalist","False","","fr"
"CR0064","MOLOCO_CAMP_046","Moloco","static","product","False","","de"
"CR0065","GOOGLE_CAMP_026","Google","static","lifestyle","False","","fr"
"CR0066","GOOGLE_CAMP_020","Google","video","food","True","A","en"
"CR0067","MOLOCO_CAMP_017","Moloco","video","food","True","A","de"
"CR0068","MOLOCO_CAMP_002","Moloco","static","product","False","","en"
"CR0069","GOOGLE_CAMP_041","Google","video","food","False","","de"
"CR0070","GOOGLE_CAMP_036","Google","carousel","lifestyle","True","C","de"
"CR0071","MOLOCO_CAMP_004","Moloco","video","minimalist","False","","pt"
"CR0072","GOOGLE_CAMP_011","Google","video","product","True","A","en"
"CR0073","TIKTOK_CAMP_033","TikTok","video","product","False","","pt"
"CR0074","AFFILIATE_CAMP_019","Affiliate","static","minimalist","True","B","en"
"CR0075","MOLOCO_CAMP_010","Moloco","video","lifestyle","False","","fr"
"CR0076","AFFILIATE_CAMP_048","Affiliate","static","minimalist","False","","de"
"CR0077","GOOGLE_CAMP_011","Google","static","lifestyle","True","B","es"
"CR0078","META_CAMP_042","Meta","video","minimalist","False","","fr"
"CR0079","META_CAMP_007","Meta","video","lifestyle","False","","en"
"CR0080","META_CAMP_047","Meta","video","lifestyle","True","B","de"
"CR0081","GOOGLE_CAMP_022","Google","video","food","False","","es"
"CR0082","GOOGLE_CAMP_022","Google","video","minimalist","False","","pt"
"CR0083","META_CAMP_002","Meta","video","product","False","","fr"
"CR0084","TABOOLA_CAMP_029","Taboola","video","product","False","","pt"
"CR0085","AFFILIATE_CAMP_007","Affiliate","video","product","True","A","fr"
"CR0086","TIKTOK_CAMP_048","TikTok","video","product","True","A","es"
"CR0087","AFFILIATE_CAMP_031","Affiliate","static","product","False","","pt"
"CR0088","GOOGLE_CAMP_026","Google","static","lifestyle","True","B","de"
"CR0089","TIKTOK_CAMP_029","TikTok","carousel","product","False","","fr"
"CR0090","GOOGLE_CAMP_001","Google","static","minimalist","False","","fr"
"CR0091","GOOGLE_CAMP_026","Google","video","food","False","","pt"
"CR0092","GOOGLE_CAMP_028","Google","video","food","False","","es"
"CR0093","GOOGLE_CAMP_033","Google","carousel","minimalist","False","","fr"
"CR0094","GOOGLE_CAMP_036","Google","video","lifestyle","False","","en"
"CR0095","GOOGLE_CAMP_034","Google","video","product","True","A","de"
"CR0096","GOOGLE_CAMP_050","Google","static","lifestyle","False","","es"
"CR0097","GOOGLE_CAMP_028","Google","video","minimalist","True","C","de"
"CR0098","MOLOCO_CAMP_048","Moloco","video","product","False","","es"
"CR0099","GOOGLE_CAMP_044","Google","static","minimalist","True","B","en"
"CR0100","META_CAMP_003","Meta","static","food","True","A","en"
"CR0101","GOOGLE_CAMP_036","Google","video","minimalist","False","","en"
"CR0102","GOOGLE_CAMP_024","Google","video","lifestyle","True","C","es"
"CR0103","GOOGLE_CAMP_006","Google","static","food","True","A","de"
"CR0104","META_CAMP_009","Meta","static","food","False","","pt"
"CR0105","GOOGLE_CAMP_037","Google","video","product","False","","de"
"CR0106","MOLOCO_CAMP_003","Moloco","video","lifestyle","False","","pt"
"CR0107","GOOGLE_CAMP_002","Google","static","minimalist","False","","pt"
"CR0108","GOOGLE_CAMP_008","Google","video","minimalist","False","","pt"
"CR0109","MOLOCO_CAMP_037","Moloco","video","product","True","C","de"
"CR0110","TIKTOK_CAMP_036","TikTok","static","minimalist","True","A","pt"
"CR0111","GOOGLE_CAMP_032","Google","static","food","False","","fr"
"CR0112","GOOGLE_CAMP_018","Google","video","product","False","","fr"
"CR0113","GOOGLE_CAMP_038","Google","video","minimalist","True","A","pt"
"CR0114","GOOGLE_CAMP_036","Google","static","minimalist","False","","es"
"CR0115","META_CAMP_021","Meta","static","product","True","B","es"
"CR0116","GOOGLE_CAMP_044","Google","video","minimalist","False","","en"
